,TIME_STAMP,TEMPERATURE_Out,GAS_Out,PRESSURE_Out,TEMPERATURE_In
195,2019-05-20 22:00:00,77.8,723933.0,982.5,78.6
196,2019-05-20 23:00:00,75.4,723933.0,982.7,78.4
197,2019-05-21 00:00:00,73.4,776731.1,982.7,76.7
198,2019-05-21 01:00:00,71.6,1388133.7,982.5,76.3
199,2019-05-21 02:00:00,69.9,1204624.7,982.2,76.0
200,2019-05-21 03:00:00,68.6,1065853.7,982.2,76.1
201,2019-05-21 04:00:00,67.8,950465.3,982.1,76.0
202,2019-05-21 05:00:00,66.6,857177.6,982.3,76.0
203,2019-05-21 06:00:00,65.7,793415.0,982.5,76.0
204,2019-05-21 07:00:00,65.0,420268.1,982.9,75.9
205,2019-05-21 08:00:00,67.0,179225.0,983.4,75.8
206,2019-05-21 09:00:00,72.4,313684.4,983.8,75.9
207,2019-05-21 10:00:00,77.9,297567.1,983.7,75.8
208,2019-05-21 11:00:00,81.1,943695.5,983.3,75.9
209,2019-05-21 12:00:00,83.3,1148558.3,983.0,76.0
210,2019-05-21 13:00:00,84.9,723933.0,982.5,75.9
211,2019-05-21 14:00:00,86.9,723933.0,981.9,75.9
212,2019-05-21 15:00:00,87.8,723933.0,981.3,75.8
213,2019-05-21 16:00:00,88.3,723933.0,980.9,75.9
214,2019-05-21 17:00:00,87.8,723933.0,980.7,76.2
215,2019-05-21 18:00:00,88.4,723933.0,980.7,76.3
216,2019-05-21 19:00:00,88.4,723933.0,980.6,76.4
217,2019-05-21 20:00:00,84.7,723933.0,980.8,76.2
218,2019-05-21 21:00:00,82.0,723933.0,981.2,76.0
219,2019-05-21 22:00:00,79.5,723933.0,981.8,76.4
220,2019-05-21 23:00:00,77.6,723933.0,982.5,76.0
221,2019-05-22 00:00:00,76.1,1093038.4,982.9,75.4
222,2019-05-22 01:00:00,75.5,1203830.9,983.4,75.3
223,2019-05-22 02:00:00,74.4,1041961.6,983.6,75.8
224,2019-05-22 03:00:00,74.6,913326.8,983.7,75.9
225,2019-05-22 04:00:00,73.8,819451.4,984.1,76.0
226,2019-05-22 05:00:00,72.8,480411.3,985.0,76.0
227,2019-05-22 06:00:00,71.7,179225.0,985.5,76.0
228,2019-05-22 07:00:00,71.0,179225.0,985.8,76.0
229,2019-05-22 08:00:00,72.9,330398.8,986.5,76.0
230,2019-05-22 09:00:00,77.6,336029.1,986.7,74.8
231,2019-05-22 10:00:00,80.4,626663.3,986.4,74.8
232,2019-05-22 11:00:00,82.6,1088667.6,986.6,76.5
233,2019-05-22 12:00:00,85.4,1054487.5,986.6,76.2
234,2019-05-22 13:00:00,86.9,723933.0,986.6,76.2
235,2019-05-22 14:00:00,89.0,723933.0,986.5,76.3
236,2019-05-22 15:00:00,90.4,723933.0,986.3,76.4
237,2019-05-22 16:00:00,90.9,723933.0,986.1,76.6
238,2019-05-22 17:00:00,92.0,723933.0,985.9,76.6
239,2019-05-22 18:00:00,91.2,723933.0,986.0,76.9
240,2019-05-22 19:00:00,89.8,723933.0,986.2,76.9
241,2019-05-22 20:00:00,88.4,723933.0,986.4,76.6
242,2019-05-22 21:00:00,85.0,723933.0,987.1,76.6
243,2019-05-22 22:00:00,84.7,723933.0,988.1,76.4
244,2019-05-22 23:00:00,83.0,723933.0,988.9,76.6
245,2019-05-23 00:00:00,80.7,723933.0,989.2,77.1
246,2019-05-23 01:00:00,79.0,723933.0,989.4,77.3
247,2019-05-23 02:00:00,78.0,723933.0,989.2,77.4
248,2019-05-23 03:00:00,77.0,723933.0,989.0,77.3
249,2019-05-23 04:00:00,76.5,723933.0,989.3,77.4
250,2019-05-23 05:00:00,76.0,878489.4,989.9,77.4
251,2019-05-23 06:00:00,75.0,1395094.2,990.6,77.6
252,2019-05-23 07:00:00,74.4,1228636.1,991.4,77.3
253,2019-05-23 08:00:00,75.4,1096249.6,992.0,77.4
254,2019-05-23 09:00:00,77.8,1048633.1,992.5,77.4
255,2019-05-23 10:00:00,80.1,1078694.8,992.6,77.6
256,2019-05-23 11:00:00,81.6,1221803.6,992.5,77.2
257,2019-05-23 12:00:00,83.2,1120703.9,992.3,77.2
258,2019-05-23 13:00:00,85.5,723933.0,991.8,77.2
259,2019-05-23 14:00:00,87.1,723933.0,991.1,77.2
260,2019-05-23 15:00:00,87.6,723933.0,990.4,77.3
261,2019-05-23 16:00:00,87.7,723933.0,989.7,77.7
262,2019-05-23 17:00:00,87.6,723933.0,989.2,78.0
263,2019-05-23 18:00:00,88.6,723933.0,988.6,78.0
264,2019-05-23 19:00:00,88.3,723933.0,988.2,78.1
265,2019-05-23 20:00:00,86.7,723933.0,988.1,77.8
266,2019-05-23 21:00:00,85.6,723933.0,988.1,77.0
267,2019-05-23 22:00:00,84.1,723933.0,988.3,77.7
268,2019-05-23 23:00:00,82.1,723933.0,988.7,77.5
269,2019-05-24 00:00:00,80.4,723933.0,989.0,76.6
270,2019-05-24 01:00:00,78.4,1431674.6,988.9,76.3
271,2019-05-24 02:00:00,77.3,1255434.9,988.8,76.4
272,2019-05-24 03:00:00,76.0,1081242.5,988.5,76.5
273,2019-05-24 04:00:00,75.0,947233.4,988.4,76.5
274,2019-05-24 05:00:00,74.0,829838.0,988.4,76.6
275,2019-05-24 06:00:00,73.9,462822.6,988.7,76.5
276,2019-05-24 07:00:00,73.2,179225.0,989.3,76.2
277,2019-05-24 08:00:00,74.0,208288.6,989.9,76.3
278,2019-05-24 09:00:00,77.7,189158.0,990.1,76.4
279,2019-05-24 10:00:00,81.3,459019.2,990.5,76.5
280,2019-05-24 11:00:00,84.0,941981.7,990.3,76.3
281,2019-05-24 12:00:00,87.0,1235431.9,990.0,76.5
282,2019-05-24 13:00:00,88.5,1429731.3,989.6,76.7
